従業員番号,苗字,名前,日付,勤怠区分,勤務パターン,開始時刻,終了時刻,休憩開始時刻1,休憩終了時刻1,休憩開始時刻2,休憩終了時刻2,休憩開始時刻3,休憩終了時刻3
01,鈴木,怜那,2026/04/01,平日,★事務室作業,,,,,,,,
01,鈴木,怜那,2026/04/02,平日,☆終日（1000～）,,,,,,,,
01,鈴木,怜那,2026/04/03,所定休日,,,,,,,,,
01,鈴木,怜那,2026/04/04,平日,◯午前,,,,,,,,
01,鈴木,怜那,2026/04/05,平日,,,,,,,,,
01,鈴木,怜那,2026/04/06,平日,◯終日,,,,,,,,
01,鈴木,怜那,2026/04/07,平日,☆終日（1000～）,,,,,,,,
01,鈴木,怜那,2026/04/08,平日,☆終日（1000～）,,,,,,,,
01,鈴木,怜那,2026/04/09,平日,☆終日（1000～）,,,,,,,,
01,鈴木,怜那,2026/04/10,平日,◯終日,,,,,,,,
01,鈴木,怜那,2026/04/11,平日,,,,,,,,,
01,鈴木,怜那,2026/04/12,平日,,,,,,,,,
01,鈴木,怜那,2026/04/13,平日,◯終日,,,,,,,,
01,鈴木,怜那,2026/04/14,平日,◯終日,,,,,,,,
01,鈴木,怜那,2026/04/15,平日,,,,,,,,,
01,鈴木,怜那,2026/04/16,平日,☆終日（1000～）,,,,,,,,
01,鈴木,怜那,2026/04/17,平日,,,,,,,,,
01,鈴木,怜那,2026/04/18,平日,,,,,,,,,
01,鈴木,怜那,2026/04/19,平日,◯日曜,,,,,,,,
01,鈴木,怜那,2026/04/20,平日,◯終日,,,,,,,,
01,鈴木,怜那,2026/04/21,平日,☆終日（1000～）,,,,,,,,
01,鈴木,怜那,2026/04/22,平日,☆終日（1000～）,,,,,,,,
01,鈴木,怜那,2026/04/23,平日,☆終日（1000～）,,,,,,,,
01,鈴木,怜那,2026/04/24,平日,,,,,,,,,
01,鈴木,怜那,2026/04/25,平日,,13:00,17:00,,,,,,
01,鈴木,怜那,2026/04/26,平日,,,,,,,,,
01,鈴木,怜那,2026/04/27,平日,◯終日,,,,,,,,
01,鈴木,怜那,2026/04/28,平日,◯終日,,,,,,,,
01,鈴木,怜那,2026/04/29,平日,,,,,,,,,
01,鈴木,怜那,2026/04/30,平日,☆終日（1000～）,,,,,,,,
02,村上,正樹,2026/04/01,平日,☆終日（1000～）,,,,,,,,
02,村上,正樹,2026/04/02,平日,,,,,,,,,
02,村上,正樹,2026/04/03,平日,☆終日（1000～）,,,,,,,,
